#Table1
u,g,r,i,z,class,z1,zerr
17.77179,18.06607,18.54404,18.84788,19.21815,STAR,0.0002298782,0.0001164941
17.18814,15.26029,14.36945,13.94816,13.63666,GALAXY,0.0400099,1.163605E-05
16.66043,15.24791,14.67106,14.44314,14.32819,STAR,-0.0005681584,1.122221E-05
19.58484,18.47789,17.99459,17.69391,17.47043,GALAXY,0.06003476,1.0656E-05
18.10093,16.81637,16.29006,16.10787,16.00387,STAR,0.0001538583,8.850462E-06
19.33809,19.06651,18.98655,19.09519,18.99326,QSO,0.8607751,0.0002197464
19.15796,18.24187,17.91495,17.74996,17.67044,GALAXY,0.01884259,7.673741E-06
18.47328,16.99336,16.23872,15.78134,15.45297,GALAXY,0.06268971,1.103995E-05
18.50671,18.61185,18.96653,19.18395,19.43436,QSO,2.507705,0.0002422415
19.17439,18.05891,17.75737,17.51305,17.3071,GALAXY,0.03397192,6.153393E-06
19.35983,18.26624,17.794,17.43627,17.2705,GALAXY,0.06017418,6.475545E-06
19.01585,17.16905,16.38681,15.91708,15.61177,GALAXY,0.07980388,9.270503E-06
17.48816,16.09182,15.45532,15.15617,15.00578,STAR,-0.0009251663,9.2705E-06
18.65275,17.77935,17.46249,17.34285,17.31987,GALAXY,0,0
18.17783,17.14499,16.79073,16.65133,16.59871,STAR,-0.0003039051,1.171475E-05
18.35835,17.11309,16.46161,16.08104,15.8355,GALAXY,0.09309565,2.177629E-05
19.18709,17.62599,16.83017,16.37005,16.04428,GALAXY,0.0382303,1.454033E-05
18.16123,16.31073,15.49152,15.06696,14.79046,GALAXY,0.05893883,1.490996E-05
18.83618,17.63858,17.08175,16.74605,16.45769,GALAXY,0.08815357,8.853614E-06
18.69926,17.31822,16.73512,16.48161,16.33028,STAR,-4.149764E-05,8.089891E-06
19.30595,18.20477,17.70172,17.37719,17.33023,STAR,-0.0003549945,1.346598E-05
17.10664,16.09099,15.80709,15.68221,15.65775,STAR,-0.0004602697,9.74728E-06
17.83731,16.32174,15.64579,15.35545,15.17558,STAR,0.0001433176,8.338944E-06
19.5049,18.38984,17.74551,17.3586,17.11958,GALAXY,0.1787971,7.371056E-06
18.0427,17.10687,16.79719,16.68015,16.62741,STAR,-0.0003778391,1.566492E-05
18.65069,17.08072,16.46686,16.25474,16.16659,STAR,-7.673143E-06,7.699112E-06
19.36918,18.02738,17.53441,17.23723,17.04132,GALAXY,0.05533386,5.40396E-06
18.87656,16.98475,16.12231,15.71433,15.39111,GALAXY,0.04103751,1.357646E-05
16.98004,16.9935,17.4075,17.71333,17.98152,STAR,-0.0004138263,1.048144E-05
18.38344,16.8854,16.19164,15.81226,15.49128,GALAXY,0.03323577,8.692473E-06
16.92766,15.76497,15.28182,15.06806,14.97755,STAR,-0.0008544903,9.163055E-06
19.44491,17.58836,16.61832,16.07353,15.6655,GALAXY,0.0681245,1.624344E-05
17.33139,15.92599,15.27793,14.90441,14.63122,GALAXY,0.03495137,1.772886E-05
18.94592,18.08787,17.67694,17.41399,17.33182,GALAXY,0.05067439,1.144926E-05
17.83066,16.5156,15.9213,15.64797,15.51594,STAR,1.664633E-05,1.184975E-05
17.28547,16.99725,17.33725,17.59864,17.82779,STAR,-0.0008212241,1.385835E-05
19.43546,19.16438,19.26304,19.11104,18.8258,QSO,0.4660103,8.268264E-05
17.84752,16.50021,15.88967,15.62949,15.49133,STAR,-0.0006614365,1.120402E-05
18.13136,17.07369,16.81392,16.71988,16.70061,STAR,0.000182355,1.00621E-05
